Day,French,DataStructures/Algos,OS Datasets,Systems & Networking
1/01/2024,2,0,2,2
1/02/2024,2,0,2,2
1/03/2024,2,0,2,2
1/04/2024,2,0,2,2
1/05/2024,2,0,2,2
1/06/2024,2,0,2,2
1/07/2024,2,0,2,2
1/08/2024,2,0,2,2
1/09/2024,2,0,1,2
1/10/2024,2,0,1,2
1/11/2024,2,0,2,2
1/12/2024,2,0,2,2
1/13/2024,2,0,2,2
1/14/2024,2,0,2,2
1/15/2024,2,0,1,2
1/16/2024,2,0,2,2
1/17/2024,2,0,2,2
1/18/2024,2,0,1,2
1/19/2024,2,0,1,2
1/20/2024,2,0,2,2
1/21/2024,2,0,2,2
1/22/2024,2,0,2,2
1/23/2024,2,0,2,2
1/24/2024,2,0,2,2
1/25/2024,2,0,1,2
1/26/2024,2,0,2,2
1/27/2024,2,0,2,2
1/28/2024,2,0,2,2
1/29/2024,2,0,2,2
1/30/2024,2,0,2,2
1/31/2024,2,0,2,2
2/01/2024,1,2,2,2
2/02/2024,1,2,2,2
2/03/2024,2,2,2,2
2/04/2024,2,2,2,2
2/05/2024,2,2,1,2
2/06/2024,2,2,2,2
2/07/2024,2,1,2,1
2/08/2024,2,1,2,1
2/09/2024,2,2,2,1


